name,registry_id,hq,extra
Iloilo Express Finance Corporation,F-22-0042-85,Philippines,
ILOILO FINANCE CORP.,16,Philippines,
ILOILO SUPREME FINANCE CORP.,466,Philippines,
"IMPACT CIRCLE FINANCE PHILIPPINES, INC.",F-22-0025-61,Philippines,
"Impact Circle Finance Philippines, Inc.",F-22-0025-61,Philippines,
IMS FINANCE AND RESOURCE CORPORATION,557,Philippines,
"INNOVATIVE INVESTORS & FINANCING CO., INC.",269,Philippines,
INNOVATIVE VANTAGE FINANCE CORPORATION,1293,Philippines,
INNOVATIVE VENTURE & FINANCE CORP.,278,Philippines,
INSIGHTECH FINANCE CORPORATION,1194,Philippines,
INTACT EAGLE FINANCE CORP.,1278,Philippines,
INTEGRITY FINANCING CORP.,268,Philippines,
INVESTORS FINANCIAL SERVICES CORP.,71,Philippines,
ISB FINANCE CORPORATION,F-21-0007-98,Philippines,
ISTANA FINANCE CORP.,332,Philippines,
J.S. FINANCE CORP.,90,Philippines,
JACCS FINANCE PHILIPPINES CORPORATION (formerly: MMPC AUTO FINANCIAL SERVICES CORPORATION ),1113,Philippines,
JADENS FINANCING CORPORATION,846,Philippines,
JAE FINANCE PHILIPPINES CORP.,1172,Philippines,
JAMAICA FINANCIAL SERVICES CORPORATION,575,Philippines,
JANE FINANCIAL SERVICES CORP.,406,Philippines,
"JARDINE PACIFIC FINANCE, INC.",69,Philippines,
JARL'S FINANCE INC.,503,Philippines,
JARVIS & KASSIA VENTURE FINANCE CORP.,563,Philippines,
"JAVLON MICRO-FINANCE, INC.",726,Philippines,
JBS FINANCE CORPORATION,574,Philippines,
"JDF PREMIER FINANCIAL SERVICES, INC.",1158,Philippines,
JEE FINANCE CO.,198,Philippines,
