name,registry_id,hq,extra
BERNAD-SINODIVILA LENDING CORPORATION,542,Philippines,
BEST J-AMD LENDING CORP.,1972,Philippines,
BEST PROVIDER MICRO LENDING CORPORATION,2947,Philippines,
BESTRATE CREDIT CORP.,1274,Philippines,
BESTVALUE CREDIT CORP.,1544,Philippines,
"BETA MICROLENDING CO., INC.",493,Philippines,
BETERAVIA CREDIT CORPORATION,281,Philippines,
BETTER ACHIEVEMENT OF GOALS THROUGH ACCESSIBLE SERVICES (BAGTAS) LENDING INC.,1753,Philippines,
BETTER DEAL LENDING CORP.,1519,Philippines,
"BETTERDAYS LENDING INVESTOR, INC.",946,Philippines,
BEYEL LENDING INC.,1366,Philippines,
BF LENDING INVESTOR INC.,019,Philippines,
BFJ II CREDIT AND LOAN CORPORATION,1678,Philippines,
BFJII LENDING CORPORATION,171,Philippines,
BHAGAT DHANNA LENDING INVESTOR AND TRADING INC.,2635,Philippines,
BHAGAT SINGH LENDING INVESTOR CORP.,2160,Philippines,
BHANA & FRIENDS LENDING INVESTOR CORP.,745,Philippines,
BHANGAL-MANN LENDING CORPORATION,2083,Philippines,
BHANGU MANJOT LENDING INC.,2299,Philippines,
BHARATVIR LENDING & TRADING INC.,1156,Philippines,
BHAURA LENDING CORP.,2286,Philippines,
BHESPREN LENDING CORP.,325,Philippines,
BHILLON LENDING INC.,2567,Philippines,
BHINDER & FRIENDS LENDING & TRADING CORP,1148,Philippines,
BHOSS LENDING INVESTOR CORP.,1140,Philippines,
BICOL AMIGO'S LENDING CORP.,3340,Philippines,
BICOL EASYLOAN LENDING CORP.,2935,Philippines,
Bicol Flexi Fund Lenidng Corporation,2958,Philippines,
BICOL HORLAN LENDING CORPORATION,3389,Philippines,
BIDDO LENDING INVESTORS CORP.,2074,Philippines,
BIEN SUERTE LENDING CORPORATION,1839,Philippines,
BIGTIME CAGAYAN CREDIT & LOANS CORP.,1408,Philippines,
