name,registry_id,hq,extra
BATINGAW LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
BESTLAND LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
BINALONAN LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
BRASILIA LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
BROTHERLY LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
CARINO ABERIN & CAPILI LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
CEBU ATLAS LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
CEBU VIGOR LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
CFA LENDING SVCS. INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
CYRENEAN LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
DAVAO GLITTERS MX’N GOLD LENDING INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"DE ORO LENDING FACILITIES, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
DOMINI LENDING INVESTOR INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"DUMAGUETE CITILENDERS, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
EL PRIMO LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ELEVEN JEWELS LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ERP LENDING CO. INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FAPCOR LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FAST COIN LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FIRST LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FIRST TUMAUINI LENDING INVESTOR (FILICOR) CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FISH MAGNATE LENDING CO. INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FIVE ACES LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FONTANELLE LENDING INVESTOR INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FORTUNE LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FOUNDERS CREDIT & LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FULL AHEAD LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
FUNDS UNLIMITED LENDING INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
GOLDEN MAG CREDIT & LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"GOOD VENTURE LENDING INVESTORS, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
GREAT LINK LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
HILLSIDE LENDING CO. INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
HOLIGEM LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"HOLY TRINITY LENDING INVESTOR, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
JAIFEL LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
JEHANS LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
JETMAR MULTI LENDING INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
KAMAGONG CREDIT & LENDING INVESTOR INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
LA FAMILIA LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"LAKESHORE LENDING INVESTOR, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
LBC GROUP LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
LIFE SAVERS LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
